备课包,2483.08,1215.4,1957,1483.69,1354.39,1441.59,2016.47,1172.81,1328.3,913.8,1095.2,810.8,886.53,1123.75,817.64,5769.92,8739.1,4120.65,2927.02,1786.5,1827.92,1588.16,1710.3,3198,2545.95,2799.5,3068.1,3367,3269.06,1748.6,1269.8
素材,6484.15,4363.11,6887.04,5834.31,6174.64,5789.89,6338.34,4136.06,5940.54,3928.73,3655.47,3088.27,2786.22,3192.96,3040.41,1923.11,1937.15,2474.03,3770.12,1582.69,1441.93,1270.3,1650.07,1210.8,598,657.45,1513.71,620.79,549.67,728.3,819.61
其他类型,993.42,680.23,2119.77,1261.06,1825.03,1242.07,1890.39,1118.22,885.99,776.2,1048.3,957.14,1202.39,944.16,726.86,623.28,605.4,810.28,1691.72,1064.95,780.65,663.1,834,817.95,550.34,416.85,268.09,126,255,0,1748.09
同步教学,639688,335917.07,514580.16,431156.44,422639.07,557687.37,421089.84,310358.63,513396.59,477296.87,500897.43,680670.43,396948.08,380812.84,442580.5,424922.3,462222.12,659945.72,360207.24,262506.87,453225.77,450221.32,446877.09,636703.82,535315.86,240278.96,408074.94,356721.18,346748.71,460128.6,273357.05
高考复习,172706.78,136940.07,218863.69,218772.65,204578.98,125506.96,124969.71,123702.97,166421.8,146974.19,158826.59,171853.09,119425.17,168228.57,169529.15,158213.91,206502.75,113065.87,112242.23,89193.31,111170.87,107977.96,124173.38,183622.63,167276.15,105989.74,175311.15,188377.39,192378.75,92092.49,86958.96
中考复习,106395.17,108760.16,180316.79,167689.72,211511.85,183953.09,52161.36,35736.21,35630.7,35796.07,45474.67,56562.09,84561.85,111928.38,149570.57,153618.65,219859.9,185306.87,36575.98,21991.74,26646.15,26553.4,35808.07,53022.83,78419.2,82241.11,146916.67,153427.36,186283.05,175876.01,34362.42
寒暑假,30764.86,12010.09,3785.32,2301.3,3714.83,16157.69,43273.85,11593.87,2615.7,1470.4,1695.6,6195.97,27536.5,5262.14,1989.67,1453.45,3661.04,15677.58,45013.02,13616.03,2916.64,1330.57,1238.5,4140.29,19941.02,9319.92,2269.85,1524.79,1608.5,9241.16,17573.46
小升初复习,8503.6,4631.47,10726.45,12639.67,25413.77,30599.78,13464.39,11649.58,4590.73,4095.65,4160.3,4398.7,6171.49,6014.13,5823.93,7839.07,14542.59,22119.42,10713.74,7482.67,2967.88,2302.28,2546.66,1990.6,2636.02,1877.2,2778.76,4846.72,9302.22,12724.26,5004.46
中职复习,2004.8,1501.61,3193,1883,2351.8,1003.8,847.4,1144,1150.4,1376.8,1961.6,1407.5,1096.6,1626.8,1168.5,2310.16,1331.8,909.25,374.4,853.5,1204.1,709.32,825,776.1,1197.4,457.4,1325.92,915.5,1261.7,864.4,905.9
其他场景,1177.37,884,1515.39,1374.88,2254.85,1642.84,1947.91,1440.23,1503.21,1168.72,1171.35,1195.59,1047.3,944.16,1242.59,1066.82,1048.97,973.49,955.49,677.02,325.89,637,584.34,533.7,462.7,241.6,261.56,264.8,290.6,0,421.7
初升高衔接,506.37,215.1,594.09,751.5,1420.4,6038.67,14933.36,6013.54,1726.47,659.4,513.5,491.8,874.2,937.2,917.3,1283.05,2265.18,7929.26,14158.77,3941.98,816.5,602.4,359.1,523.2,413.4,401.34,851.6,450,973,6475.6,6734.56
小升初衔接,267.62,128.14,193.9,340,1002.99,1487.79,1423.83,1017.26,182.3,51.8,159.8,313.8,329.43,295.89,258.1,442.13,609.07,2345.4,3472.47,1736.72,238.92,134,95,194.8,163.9,121.8,178.6,215.8,446.4,1102.54,2941.18
竞赛,53,27.8,114.23,14,28.4,30.8,60,118.1,0,64.7,62,11,40,33,0,17,24,13,78.1,29,60.41,0,4,95.21,9.1,44.06,5,65.43,2,2,39
初升中职衔接,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,51.6,170,22.8,14,10,0,1.8,0,4,12,0,4,0,6
课后,0,0,0,0,0,132,156.2,173.2,119,123.2,0,0,0,0,0,0,72.2,85,51,47.4,52.1,16,0,0,0,0,0,0,0,0,0
